273,"Tarannum Mallik Jain","F:/songs/artist/Tarannum Mallik Jain/",India,4,0
274,"Ritesh G Rao","F:/songs/artist/Ritesh G Rao/",India,4,0
275,"Kadir Thind","F:/songs/artist/Kadir Thind/",India,6,0
276,"Gurlej Akhtar","F:/songs/artist/Gurlej Akhtar/",India,6,0
277,"Inderpal Moga","F:/songs/artist/Inderpal Moga/",India,6,0
278,Fateh,F:/songs/artist/Fateh/,India,6,0
279,"Chani Nattan","F:/songs/artist/Chani Nattan/",India,6,0
280,"Pavvy Virk","F:/songs/artist/Pavvy Virk/",India,6,0
281,"Swagath Rathod","F:/songs/artist/Swagath Rathod/",India,4,0
282,"Faiz Mustafa","F:/songs/artist/Faiz Mustafa/",India,4,0
283,"Mellow D","F:/songs/artist/Mellow D/",India,4,0
284,Luv,F:/songs/artist/Luv/,India,4,0
285,"Sharry Kahlon","F:/songs/artist/Sharry Kahlon/",India,6,0
286,"Sucha Yaar","F:/songs/artist/Sucha Yaar/",India,6,0
287,"Shakthisree Gopalan","F:/songs/artist/Shakthisree Gopalan/",India,5,0
288,"Aishwarya Suresh Bindra","F:/songs/artist/Aishwarya Suresh Bindra/",India,4,0
289,Gurshabad,F:/songs/artist/Gurshabad/,India,6,0
290,"Simran Bhardwaj","F:/songs/artist/Simran Bhardwaj/",India,6,0
291,"Harmanjeet Singh","F:/songs/artist/Harmanjeet Singh/",India,6,0
292,"Mankirt Aulakh","F:/songs/artist/Mankirt Aulakh/",India,6,0
293,"Avvy Sra","F:/songs/artist/Avvy Sra/",India,6,0
294,Balkar,F:/songs/artist/Balkar/,India,6,0
295,"Naresh Iyer","F:/songs/artist/Naresh Iyer/",India,4,0
296,"Chinmayi Sripada","F:/songs/artist/Chinmayi Sripada/",India,4,0
297,"Param Sohal","F:/songs/artist/Param Sohal/",India,4,0
298,"Vikram Pitty","F:/songs/artist/Vikram Pitty/",India,4,0
299,"Nikhil Shankar","F:/songs/artist/Nikhil Shankar/",India,4,0
300,"Vignesh G","F:/songs/artist/Vignesh G/",India,4,0
301,"Benny Dayal","F:/songs/artist/Benny Dayal/",India,4,0
302,"Joewin Shamalina","F:/songs/artist/Joewin Shamalina/",India,4,0
303,Ninja,F:/songs/artist/Ninja/,India,6,0
305,"Dilraj Grewal","F:/songs/artist/Dilraj Grewal/",India,6,0
306,"Simar Sethi","F:/songs/artist/Simar Sethi/",India,6,0
307,"Ekktaa Kapoor","F:/songs/artist/Ekktaa Kapoor/",India,4,0
308,"Kulbir Jhinjer","F:/songs/artist/Kulbir Jhinjer/",India,6,0
309,"Rajan Batra","F:/songs/artist/Rajan Batra/",India,4,0
310,"Shilpa Rao","F:/songs/artist/Shilpa Rao/",India,4,0
