id,name,points
935,"Billouri Akhiyan",0
936,"Billo Tu Agg",0
937,"Bill Tere Paarh Dite",0
938,Bimariyan,0
939,"Bin Bole Baby Tu",0
940,"Bin Bulaye",0
941,"Bin Tere Bhi Rehlenge",0
942,XL,0
943,"Biraj Mein Holi Khele Nandlal",0
944,"Birthday Boy",0
945,"Jugni 2021",0
946,Birthday,0
947,"Birthday Pawri",0
948,"Birthday Yaaran Nal",0
949,"Bismillah 2",0
950,Moosetape,0
951,Blackia,0
952,"Black Coffin",0
953,"Black Heart (From &quot;Retake&quot;)",0
954,"Black Jays",0
955,"Black Karda",0
956,"Black Life",0
957,"Black Munde",0
958,"Black Pranda",0
959,"Black Sheep",0
960,"Black &amp; White",0
961,"Blame Game",0
962,"The Gorilla Bounce",0
963,"Blessings of Brother",0
964,"Blessings of Sister",0
965,Bless,0
966,Block,0
967,Blood,0
968,"Blouse Ke Batan - Lagan Special",0
969,"Bodha Devadha",0
970,Bodyguard,0
971,"Boht Tej",0
972,"Kala Shah Kala",0
973,"Boliyan Da Mashup",0
974,"Boli Jaan De",0
975,"Boli Te Boli",0
976,"Bollywood Wala Dance",0
977,"Bolna Pea 2",0
978,"Bolo hau",0
979,"Bol Kaffara Kya Hoga - Dj Chetas",0
980,"Bol Waheguru",0
981,"Bombay Nu Baraat",0
982,Raja,0
983,"Down To Earth",0
984,"Bomb Bomb",0
985,"Bomb Parmanu",0
986,"Bona Bateu - Single",0
987,"7 Kadam",0
988,"Bonito Billo",0
989,Booha,0
990,"Boom Boom",0
991,"Boost Up",0
992,"Booty Shake",0
993,Trendsetter,0
994,"Bore Alone",0
995,Borla,0
996,"Borla Chandi Ka",0
997,"Born 84",0
998,"Born Brave",0
999,"Bossman (feat. Dr. Kush)",0
1000,Botal,0
1001,"Bounce Back",0
1002,Boutique,0
1003,"Bp High",0
1004,Braat,0
1005,Brand,0
1006,"Breaking the Rules",0
1007,"Break Free",0
1008,"Break Out",0
1009,"Broken Heart",0
1010,Broken,0
1011,"Brown Eye",0
1012,"Brown Munde",0
1013,"Bro Oye",0
1014,"Bubble Gum",0
1015,"Buddhi Nu Matke",0
1016,"Gulabo Sitabo",0
1017,"Buhe Bariyan",0
1018,"Built in Pain",0
1019,"Hum Bhi Akele Tum Bhi Akele",0
